IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
427700089,125456004,,427700014,Fungal cytoplasmic inclusion body,Morphological_Abnormalitiy_PID,0
427700090,125463004,,427700014,Plasma membrane globulin coating,Morphological_Abnormalitiy_PID,0
427700091,80552008,,427700014,Neuronophagia,Morphological_Abnormalitiy_PID,0
427700092,373886001,,427700014,Epithelial cell abnormality,Morphological_Abnormalitiy_PID,0
427700093,107675007,,427700014,Chromosomal morphology,Morphological_Abnormalitiy_PID,0
427700094,103634004,,427700014,Leukocytic agglutination,Morphological_Abnormalitiy_PID,0
427700095,125411006,,427700014,Nuclear lead inclusion,Morphological_Abnormalitiy_PID,0
427700096,397060004,,427700014,Erythrocyte inclusion,Morphological_Abnormalitiy_PID,0
427700097,125425007,,427700014,Alteration of mitochondrial cristae,Morphological_Abnormalitiy_PID,0
427700098,103633005,,427700014,Toxic leukocyte granulations,Morphological_Abnormalitiy_PID,0
427700099,399466007,,427700014,Transitional cell dysplasia,Morphological_Abnormalitiy_PID,0
427700100,125394000,,427700014,Cell content alteration,Morphological_Abnormalitiy_PID,0
427700101,125391008,,427700014,Cell size alteration,Morphological_Abnormalitiy_PID,0
427700102,16190006,,427700014,Herring's bodies,Morphological_Abnormalitiy_PID,0
427700103,125487002,,427700014,Basement membrane-like material,Morphological_Abnormalitiy_PID,0
427700104,50673007,,427700014,Cytologic atypia,Morphological_Abnormalitiy_PID,0
427700105,116023004,,427700014,Abnormal cell structure,Morphological_Abnormalitiy_PID,0
427700106,123674001,,427700014,Cell shape alteration,Morphological_Abnormalitiy_PID,0
427700107,14737000,,427700015,Jet lesion,Morphological_Abnormalitiy_PID,0
427700108,19928005,,427700015,Fibromatosis,Morphological_Abnormalitiy_PID,0
427700109,31478005,,427700015,Rhagades,Morphological_Abnormalitiy_PID,0
427700110,133853005,,427700015,Epiretinal membrane,Morphological_Abnormalitiy_PID,0
427700111,112674009,,427700015,Fibrosis,Morphological_Abnormalitiy_PID,0
427700112,39928001,,427700015,Excessive repair,Morphological_Abnormalitiy_PID,0
427700113,37748009,,427700015,Bony sclerosis,Morphological_Abnormalitiy_PID,0
427700114,63561003,,427700015,Traumatic neuroma,Morphological_Abnormalitiy_PID,0
427700115,47048004,,427700015,Fibrous overgrowth,Morphological_Abnormalitiy_PID,0
427700116,110346001,,427700015,Abnormal reticulin,Morphological_Abnormalitiy_PID,0
427700117,39967007,,427700015,Acquired web,Morphological_Abnormalitiy_PID,0
427700118,42685002,,427700015,Adhesion,Morphological_Abnormalitiy_PID,0
427700119,133854004,,427700015,Subretinal membrane,Morphological_Abnormalitiy_PID,0
427700120,57048009,,427700015,Contracture,Morphological_Abnormalitiy_PID,0
427700121,19988008,,427700015,Pseudoainhum,Morphological_Abnormalitiy_PID,0
427700122,21444008,,427700015,Microglial nodules,Morphological_Abnormalitiy_PID,0
427700123,81415000,,427700015,Gliosis,Morphological_Abnormalitiy_PID,0
427700124,5849000,,427700015,Glial cell reaction,Morphological_Abnormalitiy_PID,0
427700125,426405000,,427700015,Abnormal healing of fracture,Morphological_Abnormalitiy_PID,0
427700126,367004,,427700015,Clubbing,Morphological_Abnormalitiy_PID,0
427700127,12402003,,427700015,Scar,Morphological_Abnormalitiy_PID,0
427700128,21139007,,427700015,Organization,Morphological_Abnormalitiy_PID,0
427700129,43846000,,427700015,Sclerosis,Morphological_Abnormalitiy_PID,0
427700130,35073002,,427700016,Inflammatory pseudotumor,Morphological_Abnormalitiy_PID,0
427700131,245849007,,427700017,Post-surgical anatomy,Morphological_Abnormalitiy_PID,0
427700132,43526002,,427700017,Operative site,Morphological_Abnormalitiy_PID,0
427700133,112633009,,427700017,Surgical wound,Morphological_Abnormalitiy_PID,0
427700134,85933009,,427700017,Surgical transected structure,Morphological_Abnormalitiy_PID,0
427700135,112657009,,427700019,Tadpole cell,Morphological_Abnormalitiy_PID,0
427700136,16980002,,427700019,Foam cell,Morphological_Abnormalitiy_PID,0
427700137,57068003,,427700019,Muciphage,Morphological_Abnormalitiy_PID,0
427700138,107677004,,427700019,Abnormal hematopoietic cell,Morphological_Abnormalitiy_PID,0
427700139,13901007,,427700019,Fat-laden macrophage,Morphological_Abnormalitiy_PID,0
427700140,85613007,,427700019,Degenerating muscle fiber,Morphological_Abnormalitiy_PID,0
427700141,54943009,,427700019,Warthin-Finkeldey giant cell,Morphological_Abnormalitiy_PID,0
427700142,42723004,,427700019,Rod shaped microglia,Morphological_Abnormalitiy_PID,0
427700143,30469008,,427700019,Buhot cell,Morphological_Abnormalitiy_PID,0
427700144,60401004,,427700019,Multinucleate giant cell,Morphological_Abnormalitiy_PID,0
427700145,86918008,,427700019,Signet ring cell,Morphological_Abnormalitiy_PID,0
427700146,30938003,,427700019,Langhans giant cell,Morphological_Abnormalitiy_PID,0
427700147,55319008,,427700019,Gemistocyte,Morphological_Abnormalitiy_PID,0
427700148,83687003,,427700019,Opalski cell,Morphological_Abnormalitiy_PID,0
427700149,54656004,,427700019,Anuclear cell,Morphological_Abnormalitiy_PID,0
427700150,71203006,,427700019,Touton giant cell,Morphological_Abnormalitiy_PID,0
427700151,29209006,,427700019,Alzheimer type II glial cell,Morphological_Abnormalitiy_PID,0
427700152,39922000,,427700019,Folded cell,Morphological_Abnormalitiy_PID,0
427700153,397019006,,427700019,Abnormal red blood cell,Morphological_Abnormalitiy_PID,0
427700154,125392001,,427700019,Cytomegaly,Morphological_Abnormalitiy_PID,0
427700155,252987004,,427700019,Tumor cells,Morphological_Abnormalitiy_PID,0
427700156,25006003,,427700019,Navicular cell,Morphological_Abnormalitiy_PID,0
427700157,21386001,,427700019,Foreign body giant cell,Morphological_Abnormalitiy_PID,0
427700158,107670002,,427700020,Lysis AND/OR resorbed tissue,Morphological_Abnormalitiy_PID,0
427700159,32693004,,427700020,Demyelination,Morphological_Abnormalitiy_PID,0
427700160,15524008,,427700020,Obliteration,Morphological_Abnormalitiy_PID,0
427700161,69251000,,427700020,Depletion,Morphological_Abnormalitiy_PID,0
427700162,4720007,,427700020,Dystrophy,Morphological_Abnormalitiy_PID,0
427700163,128305008,,427700020,Opacity,Morphological_Abnormalitiy_PID,0
427700164,19316008,,427700020,Cytoid body,Morphological_Abnormalitiy_PID,0
427700165,107671003,,427700020,Vascular sclerosis,Morphological_Abnormalitiy_PID,0
427700166,2218006,,427700020,Endothelial degeneration,Morphological_Abnormalitiy_PID,0
427700167,11889001,,427700020,Abiotrophy,Morphological_Abnormalitiy_PID,0
427700168,18695008,,427700020,Hyaline body,Morphological_Abnormalitiy_PID,0
427700169,33359002,,427700020,Degeneration,Morphological_Abnormalitiy_PID,0
427700170,47939006,,427700020,Etat cribl̩,Morphological_Abnormalitiy_PID,0
427700171,46595003,,427700020,Deposition,Morphological_Abnormalitiy_PID,0
427700172,13331008,,427700020,Atrophy,Morphological_Abnormalitiy_PID,0
427700173,1522000,,427700020,Plaque,Morphological_Abnormalitiy_PID,0
427700174,35828005,,427700020,Malacia,Morphological_Abnormalitiy_PID,0
427700175,16190006,,427700020,Herring's bodies,Morphological_Abnormalitiy_PID,0
427700176,66984008,,427700020,Etat lacunaire,Morphological_Abnormalitiy_PID,0
427700177,12222001,,427700022,Abnormality of red blood cells,Morphological_Abnormalitiy_PID,0
427700178,24827003,,427700022,White blood cell abnormality,Morphological_Abnormalitiy_PID,0
427700179,127566005,,427700022,Abnormal platelet,Morphological_Abnormalitiy_PID,0
427700180,123751005,,427700023,Inflamed polyp,Morphological_Abnormalitiy_PID,0
427700181,409775006,,427700023,Granulomatous inflammatory morphology,Morphological_Abnormalitiy_PID,0
427700182,84052006,,427700023,Chancre,Morphological_Abnormalitiy_PID,0
427700183,48055004,,427700023,Pustular rash,Morphological_Abnormalitiy_PID,0
427700184,110428006,,427700023,Inflammatory fistula,Morphological_Abnormalitiy_PID,0
427700185,255316004,,427700023,Purulent,Morphological_Abnormalitiy_PID,0
427700186,23583003,,427700023,Inflammation,Morphological_Abnormalitiy_PID,0
427700187,44132006,,427700023,Abscess morphology,Morphological_Abnormalitiy_PID,0
427700188,35073002,,427700023,Inflammatory pseudotumor,Morphological_Abnormalitiy_PID,0
427700189,66696003,,427700023,Empyema,Morphological_Abnormalitiy_PID,0
427700190,11585000,,427700023,Bubo,Morphological_Abnormalitiy_PID,0
427700191,13485007,,427700023,Pannus,Morphological_Abnormalitiy_PID,0
427700192,367646009,,427700023,Pus,Morphological_Abnormalitiy_PID,0
427700193,46984003,,427700023,Abscess cavity,Morphological_Abnormalitiy_PID,0
427700194,409777003,,427700023,Chronic inflammatory morphology,Morphological_Abnormalitiy_PID,0
427700195,77251006,,427700023,Durck's nodule,Morphological_Abnormalitiy_PID,0
427700196,76235005,,427700023,Inflammatory polyp,Morphological_Abnormalitiy_PID,0
427700197,409776007,,427700023,Acute inflammatory morphology,Morphological_Abnormalitiy_PID,0
427700198,123627005,,427700023,Inflammatory cavity,Morphological_Abnormalitiy_PID,0
427700199,45486003,,427700027,Aplasia,Morphological_Abnormalitiy_PID,0
427700200,111007000,,427700027,Hypomyelination,Morphological_Abnormalitiy_PID,0
427700201,28727003,,427700027,Odontogenic cyst,Morphological_Abnormalitiy_PID,0
427700202,371520008,,427700027,Developmental failure of fusion,Morphological_Abnormalitiy_PID,0
427700203,110407002,,427700027,Exstrophy,Morphological_Abnormalitiy_PID,0
427700204,51398009,,427700027,Hamartoma,Morphological_Abnormalitiy_PID,0
427700205,444002002,,427700027,Developmental dislocation,Morphological_Abnormalitiy_PID,0
427700206,107656002,,427700027,Congenital anomaly,Morphological_Abnormalitiy_PID,0
427700207,125140004,,427700028,Fluctuant mass,Morphological_Abnormalitiy_PID,0
427700208,72266002,,427700028,Nodosity,Morphological_Abnormalitiy_PID,0
427700209,13467000,,427700028,Pseudocyst,Morphological_Abnormalitiy_PID,0
427700210,125239005,,427700028,Progonoma,Morphological_Abnormalitiy_PID,0
427700211,416939005,,427700028,Proliferative mass,Morphological_Abnormalitiy_PID,0
427700212,125143002,,427700028,Smooth mass,Morphological_Abnormalitiy_PID,0
427700213,27925004,,427700028,Nodule,Morphological_Abnormalitiy_PID,0
427700214,125141000,,427700028,Firm mass,Morphological_Abnormalitiy_PID,0
427700215,125144008,,427700028,Verrucous mass,Morphological_Abnormalitiy_PID,0
427700216,90599004,,427700028,Pad,Morphological_Abnormalitiy_PID,0
427700217,125138009,,427700028,Multiple masses,Morphological_Abnormalitiy_PID,0
427700218,125139001,,427700028,Soft mass,Morphological_Abnormalitiy_PID,0
427700219,125137004,,427700028,Solitary mass,Morphological_Abnormalitiy_PID,0
427700220,125142007,,427700028,Ulcerated mass,Morphological_Abnormalitiy_PID,0
427700221,278002000,,427700028,Soft tissue mass,Morphological_Abnormalitiy_PID,0
427700222,70033004,,427700028,Torus,Morphological_Abnormalitiy_PID,0
427700223,103605005,,427700028,Pimple,Morphological_Abnormalitiy_PID,0
427700224,367643001,,427700028,Cyst,Morphological_Abnormalitiy_PID,0
427700225,90893005,,427700028,Vascular nevus,Morphological_Abnormalitiy_PID,0
427700226,35566002,,427700028,Hematoma,Morphological_Abnormalitiy_PID,0
427700227,415582006,,427700029,Stenosis,Morphological_Abnormalitiy_PID,0
427700228,125541005,,427700030,Mast cell hyperplasia,Morphological_Abnormalitiy_PID,0
427700229,127581004,,427700030,Mast cell neoplasm (morphology),Morphological_Abnormalitiy_PID,0
427700230,19130008,,427700031,Traumatic abnormality,Morphological_Abnormalitiy_PID,0
427700231,6574001,,427700031,Necrosis,Morphological_Abnormalitiy_PID,0
427700232,125499009,,427700032,Extracellular vacuole alteration,Morphological_Abnormalitiy_PID,0
427700233,125500000,,427700032,Extracellular macromolecule aggregate alteration,Morphological_Abnormalitiy_PID,0
427700234,125481001,,427700032,Basement membrane alteration,Morphological_Abnormalitiy_PID,0
427700235,125480000,,427700032,Structural extracellular alteration,Morphological_Abnormalitiy_PID,0
427700236,125495003,,427700032,Myelin sheath alteration,Morphological_Abnormalitiy_PID,0
427700237,125498001,,427700032,Extracellular granule alteration,Morphological_Abnormalitiy_PID,0
427700238,125496002,,427700032,Extracellular lipid aggregate alteration,Morphological_Abnormalitiy_PID,0
427700239,125488007,,427700032,Extracellular fiber alteration,Morphological_Abnormalitiy_PID,0
427700240,125511008,,427700032,Extracellular space alteration,Morphological_Abnormalitiy_PID,0
427700241,125512001,,427700032,Extracellular fluid alteration,Morphological_Abnormalitiy_PID,0
427700242,125505005,,427700032,Extracellular matrix alteration,Morphological_Abnormalitiy_PID,0
427700243,125490008,,427700032,Decreased elasticity,Morphological_Abnormalitiy_PID,0
427700244,125504009,,427700032,Extracellular electron dense deposition,Morphological_Abnormalitiy_PID,0
427700245,125489004,,427700032,Elastic fiber alteration,Morphological_Abnormalitiy_PID,0
427700246,74777006,,427700033,Adipocere,Morphological_Abnormalitiy_PID,0
427700247,51743001,,427700033,Putrefaction,Morphological_Abnormalitiy_PID,0
427700248,85811006,,427700033,Autolysis,Morphological_Abnormalitiy_PID,0
427700249,30891005,,427700033,Mummification,Morphological_Abnormalitiy_PID,0
427700250,49581002,,427700033,Rigor mortis,Morphological_Abnormalitiy_PID,0
427700251,46924001,,427700033,Conglutination artifact,Morphological_Abnormalitiy_PID,0
427700252,30867001,,427700033,Carnification,Morphological_Abnormalitiy_PID,0
427700253,24887001,,427700033,Maceration,Morphological_Abnormalitiy_PID,0
427700254,56430004,,427700033,Livor mortis,Morphological_Abnormalitiy_PID,0
427700255,11514007,,427700033,Algor mortis,Morphological_Abnormalitiy_PID,0
427700256,37764001,,427700034,Congenital abnormal fusion,Morphological_Abnormalitiy_PID,0
427700257,125428009,,427700034,Fused cristae,Morphological_Abnormalitiy_PID,0
427700258,129259001,,427700035,Redundant mucosa,Morphological_Abnormalitiy_PID,0
427700259,416286003,,427700036,Ectopia,Morphological_Abnormalitiy_PID,0
427700260,18115005,,427700036,Pathologic calcification,Morphological_Abnormalitiy_PID,0
427700261,103681003,,427700037,Impaired tissue repair,Morphological_Abnormalitiy_PID,0
427700262,110452004,,427700037,Hyaline plaque,Morphological_Abnormalitiy_PID,0
427700263,39928001,,427700037,Excessive repair,Morphological_Abnormalitiy_PID,0
427700264,66200007,,427700037,Heterauxesis,Morphological_Abnormalitiy_PID,0
427700265,110454003,,427700037,Eburnation of dentin,Morphological_Abnormalitiy_PID,0
427700266,85616004,,427700037,Involution,Morphological_Abnormalitiy_PID,0
427700267,110446000,,427700037,Atypical intestinal metaplasia,Morphological_Abnormalitiy_PID,0
427700268,83477007,,427700037,Growth arrest,Morphological_Abnormalitiy_PID,0
427700269,416208004,,427700037,Gestational trophoblastic lesion,Morphological_Abnormalitiy_PID,0
427700270,30217000,,427700037,Proliferation,Morphological_Abnormalitiy_PID,0
427700271,110455002,,427700037,Endometrial cells out of cycle,Morphological_Abnormalitiy_PID,0
427700272,59576002,,427700037,Growth retardation,Morphological_Abnormalitiy_PID,0
427700273,48707006,,427700037,Growth acceleration,Morphological_Abnormalitiy_PID,0
427700274,34636005,,427700037,Regeneration,Morphological_Abnormalitiy_PID,0
427700275,83957007,,427700037,Cyclic tissue alteration,Morphological_Abnormalitiy_PID,0
427700276,110447009,,427700037,Atypical fibrocystic disease,Morphological_Abnormalitiy_PID,0
427700277,25723000,,427700037,Dysplasia,Morphological_Abnormalitiy_PID,0
427700278,110451006,,427700037,Spindle cell nodule,Morphological_Abnormalitiy_PID,0
427700279,17665002,,427700037,Metaplasia,Morphological_Abnormalitiy_PID,0
427700280,110443008,,427700037,Transitional cell hyperplasia,Morphological_Abnormalitiy_PID,0
427700281,110448004,,427700037,Juvenile polyp,Morphological_Abnormalitiy_PID,0
427700282,41010001,,427700037,Maturation defect,Morphological_Abnormalitiy_PID,0
427700283,110449007,,427700037,Endocervicosis,Morphological_Abnormalitiy_PID,0
427700284,111019008,,427700037,Postinflammatory webbing,Morphological_Abnormalitiy_PID,0
427700285,56246009,,427700037,Hypertrophy,Morphological_Abnormalitiy_PID,0
427700286,110445001,,427700037,Focal hyperkeratosis,Morphological_Abnormalitiy_PID,0
427700287,76197007,,427700037,Hyperplasia,Morphological_Abnormalitiy_PID,0
427700288,110453009,,427700037,Eburnation of bone,Morphological_Abnormalitiy_PID,0
427700289,56208002,,427700038,Ulcer,Morphological_Abnormalitiy_PID,0
427700290,112641009,,427700038,Telangiectasis,Morphological_Abnormalitiy_PID,0
427700291,6920004,,427700038,Defect,Morphological_Abnormalitiy_PID,0
427700292,31113003,,427700038,Diverticulum,Morphological_Abnormalitiy_PID,0
427700293,76555007,,427700038,Disruption,Morphological_Abnormalitiy_PID,0
427700294,16277007,,427700038,Collapse,Morphological_Abnormalitiy_PID,0
427700295,363563002,,427700038,Entrapment,Morphological_Abnormalitiy_PID,0
427700296,20456003,,427700038,Loose body,Morphological_Abnormalitiy_PID,0
427700297,55584005,,427700038,Embolus,Morphological_Abnormalitiy_PID,0
427700298,2483006,,427700038,Cavity,Morphological_Abnormalitiy_PID,0
427700299,371415005,,427700038,Abnormal retraction,Morphological_Abnormalitiy_PID,0
427700300,4857006,,427700038,Sequestrum,Morphological_Abnormalitiy_PID,0
427700301,125366008,,427700038,Disintegration,Morphological_Abnormalitiy_PID,0
427700302,15524008,,427700038,Obliteration,Morphological_Abnormalitiy_PID,0
427700303,103621000,,427700038,False passage,Morphological_Abnormalitiy_PID,0
427700304,36504009,,427700038,Ankylosis,Morphological_Abnormalitiy_PID,0
427700305,112624007,,427700038,Fragmentation,Morphological_Abnormalitiy_PID,0
427700306,16255008,,427700038,Fenestration,Morphological_Abnormalitiy_PID,0
427700307,36191001,,427700038,Perforation,Morphological_Abnormalitiy_PID,0
427700308,22036004,,427700038,Pseudoaneurysm,Morphological_Abnormalitiy_PID,0
427700309,39967007,,427700038,Acquired web,Morphological_Abnormalitiy_PID,0
427700310,45147008,,427700038,Induration,Morphological_Abnormalitiy_PID,0
427700311,12535006,,427700038,Acquired absence,Morphological_Abnormalitiy_PID,0
427700312,413269001,,427700038,Bulging,Morphological_Abnormalitiy_PID,0
427700313,6081001,,427700038,Deformity,Morphological_Abnormalitiy_PID,0
427700314,47393002,,427700038,Fissure,Morphological_Abnormalitiy_PID,0
427700315,410069005,,427700038,Impatent structure,Morphological_Abnormalitiy_PID,0
427700316,75753009,,427700038,Blood clot,Morphological_Abnormalitiy_PID,0
427700317,85659009,,427700038,Aneurysm,Morphological_Abnormalitiy_PID,0
427700318,25322007,,427700038,Dilatation,Morphological_Abnormalitiy_PID,0
427700319,26036001,,427700038,Obstruction,Morphological_Abnormalitiy_PID,0
427700320,47351003,,427700038,Infiltration,Morphological_Abnormalitiy_PID,0
427700321,410728007,,427700038,Instability,Morphological_Abnormalitiy_PID,0
427700322,56381008,,427700038,Calculus,Morphological_Abnormalitiy_PID,0
427700323,112639008,,427700038,Protrusion,Morphological_Abnormalitiy_PID,0
427700324,107666005,,427700038,Fluid disturbance,Morphological_Abnormalitiy_PID,0
427700325,19227008,,427700038,Foreign body,Morphological_Abnormalitiy_PID,0
427700326,71173004,,427700038,Compression,Morphological_Abnormalitiy_PID,0
427700327,50960005,,427700038,Hemorrhage,Morphological_Abnormalitiy_PID,0
427700328,182000,,427700038,Canalization,Morphological_Abnormalitiy_PID,0
427700329,419351001,,427700038,Sinus,Morphological_Abnormalitiy_PID,0
427700330,118622000,,427700038,Fistula,Morphological_Abnormalitiy_PID,0
427700331,367643001,,427700038,Cyst,Morphological_Abnormalitiy_PID,0
427700332,36850000,,427700038,Retention,Morphological_Abnormalitiy_PID,0
427700333,112638000,,427700038,Displacement,Morphological_Abnormalitiy_PID,0
427700334,41444002,,427700038,Invagination,Morphological_Abnormalitiy_PID,0
427700335,9656002,,427700038,Consolidation,Morphological_Abnormalitiy_PID,0
427700336,27006004,,427700039,Vasculitic rash,Morphological_Abnormalitiy_PID,0
427700337,14912003,,427700039,Vesiculobullous rash,Morphological_Abnormalitiy_PID,0
427700338,81843002,,427700039,Impetiginous rash,Morphological_Abnormalitiy_PID,0
427700339,89757007,,427700039,Macular rash,Morphological_Abnormalitiy_PID,0
427700340,72768000,,427700039,Erythematous plaque,Morphological_Abnormalitiy_PID,0
427700341,48055004,,427700039,Pustular rash,Morphological_Abnormalitiy_PID,0
427700342,14166007,,427700039,Koplik spot,Morphological_Abnormalitiy_PID,0
427700343,70819003,,427700039,Erythema,Morphological_Abnormalitiy_PID,0
427700344,70831001,,427700039,Papular rash,Morphological_Abnormalitiy_PID,0
427700345,53788007,,427700039,Vesicular rash,Morphological_Abnormalitiy_PID,0
